id_number,measurements
CMNMA 15133,Tail: 118 mm;  Hind foot: 48 mm
CMNMA 15140,Tail: 113 mm;  Hind foot: 48 mm
CMNMA 15143,Tail: 108 mm;  Hind foot: 48 mm
CMNMA 15147,Tail: 108 mm;  Hind foot: 49 mm
CMNMA 15148,Tail: 120 mm;  Hind foot: 49 mm
CMNMA 15162,Tail: 125 mm;  Hind foot: 51 mm
CMNMA 15174,Tail: 129 mm;  Hind foot: 50 mm
CMNMA 15175,Tail: 133 mm;  Hind foot: 50 mm
CMNMA 15176,Tail: 130 mm;  Hind foot: 49 mm
CMNMA 15179,Tail: 125 mm;  Hind foot: 47 mm
CMNMA 15203,Tail: 126 mm;  Hind foot: 50 mm
CMNMA 15215,Tail: 116 mm;  Hind foot: 48 mm
CMNMA 15216,Tail: 114 mm;  Hind foot: 48 mm
CMNMA 15220,Tail: 115 mm;  Hind foot: 49 mm
CMNMA 15221,Tail: 110 mm;  Hind foot: 46 mm
CMNMA 15235,Tail: 85 mm;  Hind foot: 50 mm
CMNMA 15237,Tail: 86 mm;  Hind foot: 50 mm;  Other meas: length of foetuses: 20 mm
CMNMA 15238,Tail: 120 mm;  Hind foot: 50 mm
CMNMA 15247,Tail: 115 mm;  Hind foot: 49 mm;  Other meas: length of foetuses: 15 mm
CMNMA 15248,Tail: 130 mm;  Hind foot: 50 mm
CMNMA 15254,Tail: 108 mm;  Hind foot: 49 mm
CMNMA 15264,Tail: 108 mm;  Hind foot: 49 mm
CMNMA 15270,Tail: 120 mm;  Hind foot: 49 mm
CMNMA 15272,Tail: 129 mm;  Hind foot: 49 mm
CMNMA 15275,Tail: 80 mm;  Hind foot: 49 mm
CMNMA 15276,Tail: 120 mm;  Hind foot: 47 mm
CMNMA 15278,Tail: 115 mm;  Hind foot: 48 mm
CMNMA 15279,Tail: 117 mm;  Hind foot: 49 mm
CMNMA 15288,Tail: 110 mm;  Hind foot: 46 mm
CMNMA 15316,Tail: 122 mm;  Hind foot: 50 mm
CMNMA 15318,Tail: 122 mm;  Hind foot: 50 mm
CMNMA 15319,Tail: 102 mm;  Hind foot: 50 mm
CMNMA 15320,Tail: 122 mm;  Hind foot: 50 mm
CMNMA 15339,Tail: 127 mm;  Hind foot: 49 mm
CMNMA 15340,Tail: 127 mm;  Hind foot: 48 mm
CMNMA 15501,Tail: 135 mm;  Hind foot: 51 mm
CMNMA 15508,Tail: 112 mm;  Hind foot: 43 mm
CMNMA 15509,Tail: 113 mm;  Hind foot: 45 mm
CMNMA 15522,Tail: 135 mm;  Hind foot: 51 mm
CMNMA 15523,Tail: 132 mm;  Hind foot: 50 mm
CMNMA 15524,Tail: 123 mm;  Hind foot: 49 mm
CMNMA 15531,Tail: 123 mm;  Hind foot: 49 mm
CMNMA 15535,Tail: 126 mm;  Hind foot: 49 mm
CMNMA 15536,Tail: 135 mm;  Hind foot: 48 mm
CMNMA 15601,Tail: 129 mm;  Hind foot: 50 mm
CMNMA 15669,Tail: 131 mm;  Hind foot: 51 mm
CMNMA 15744,Tail: 135 mm;  Hind foot: 50 mm
CMNMA 15750,Tail: 138 mm;  Hind foot: 49 mm
CMNMA 15758,Tail: 125 mm;  Hind foot: 49 mm
CMNMA 15772,Tail: 130 mm;  Hind foot: 50 mm
CMNMA 15773,Tail: 115 mm;  Hind foot: 50 mm
CMNMA 15775,Tail: 128 mm;  Hind foot: 50 mm
CMNMA 15776,Tail: 123 mm;  Hind foot: 50 mm
CMNMA 15873,Tail: 130 mm;  Hind foot: 52 mm
CMNMA 15882,Tail: 132 mm;  Hind foot: 50 mm
CMNMA 15978,Tail: 123 mm;  Hind foot: 50 mm
CMNMA 15979,Tail: 129 mm;  Hind foot: 50 mm
CMNMA 16020,Tail: 125 mm;  Hind foot: 50 mm
CMNMA 16051,Tail: 114 mm;  Hind foot: 30 mm
CMNMA 16052,Tail: 111 mm;  Hind foot: 21 mm
CMNMA 16055,Tail: 112 mm;  Hind foot: 23 mm
CMNMA 16078,Tail: 141 mm;  Hind foot: 48 mm
CMNMA 16152,Tail: 127 mm;  Hind foot: 49 mm
CMNMA 16231,Tail: 120 mm;  Hind foot: 47 mm
CMNMA 16237,Tail: 131 mm;  Hind foot: 46 mm
CMNMA 16259,Tail: 127 mm;  Hind foot: 47.2 mm
CMNMA 16269,Tail: 121 mm;  Hind foot: 47 mm
CMNMA 16365,Tail: 127 mm;  Hind foot: 45 mm
CMNMA 16371,Tail: 120 mm;  Hind foot: 46.5 mm
CMNMA 16380,Tail: 121 mm;  Hind foot: 47.5 mm
CMNMA 16401,Tail: 127 mm;  Hind foot: 47 mm
CMNMA 16434,Tail: 125 mm;  Hind foot: 45 mm
CMNMA 16440,Tail: 126 mm;  Hind foot: 47 mm
CMNMA 16443,Tail: 123 mm;  Hind foot: 46.8 mm
CMNMA 16444,Tail: 117 mm;  Hind foot: 46.9 mm
CMNMA 16462,Tail: 125 mm;  Hind foot: 45 mm
CMNMA 16521,Tail: 121 mm;  Hind foot: 50 mm;  Other meas: Embryos: 18 mm
CMNMA 16525,Tail: 121 mm;  Hind foot: 50 mm
CMNMA 16529,Tail: 132 mm;  Hind foot: 49 mm
CMNMA 16530,Tail: 132 mm;  Hind foot: 50 mm
CMNMA 16531,Tail: 126 mm;  Hind foot: 48 mm;  Other meas: Embyros: 27 mm
CMNMA 16536,Tail: 132 mm;  Hind foot: 50 mm;  Other meas: Embryos: 38 mm
CMNMA 16553,Tail: 125 mm;  Hind foot: 48 mm
CMNMA 16570,Tail: 119 mm;  Hind foot: 49 mm
CMNMA 16577,Tail: 130 mm;  Hind foot: 50 mm
CMNMA 16678,Tail: 122 mm;  Hind foot: 47 mm
CMNMA 16709,Tail: 120 mm;  Hind foot: 50 mm
CMNMA 16716,Tail: 113 mm;  Hind foot: 50 mm
CMNMA 16720,Tail: 110 mm;  Hind foot: 50 mm
CMNMA 16730,Tail: 123 mm;  Hind foot: 50 mm
CMNMA 16731,Tail: 125 mm;  Hind foot: 50 mm
CMNMA 16732,Tail: 122 mm;  Hind foot: 49 mm
CMNMA 16743,Tail: 126 mm;  Hind foot: 50 mm
CMNMA 16803,Tail: 121 mm;  Hind foot: 50 mm
CMNMA 16851,Tail: 130 mm;  Hind foot: 45 mm
CMNMA 17071,Tail: 106 mm;  Hind foot: 45 mm
CMNMA 17130,Tail: 128 mm;  Hind foot: 49 mm
CMNMA 17212,Tail: 111 mm;  Hind foot: 49 mm;  Ear : 22 mm
CMNMA 17213,Tail: 115 mm;  Hind foot: 45 mm;  Ear : 22 mm
CMNMA 17325,Tail: 130 mm;  Hind foot: 47 mm
CMNMA 17334,Tail: 131 mm;  Hind foot: 52 mm
CMNMA 17352,Tail: 125 mm;  Hind foot: 48 mm
CMNMA 17364,Tail: 130 mm;  Hind foot: 48 mm
CMNMA 17397,Tail: 123 mm;  Hind foot: 45 mm
CMNMA 17432,Tail: 133 mm;  Hind foot: 50 mm
CMNMA 17433,Tail: 120 mm;  Hind foot: 49 mm
CMNMA 17451,Tail: 127 mm;  Hind foot: 47 mm
CMNMA 17655,Tail: 123.7 mm;  Hind foot: 44.5 mm
CMNMA 17665,Tail: 128 mm;  Hind foot: 50 mm
CMNMA 17688,Tail: 135 mm;  Hind foot: 51 mm
CMNMA 17738,Tail: 122 mm;  Hind foot: 49 mm
CMNMA 17739,Tail: 122 mm;  Hind foot: 48 mm
CMNMA 17755,Tail: 116 mm;  Hind foot: 57 mm
CMNMA 17762,Tail: 111 mm;  Hind foot: 52 mm
CMNMA 17763,Tail: 125 mm;  Hind foot: 52 mm
CMNMA 17827,Tail: 133 mm;  Hind foot: 51 mm
CMNMA 17853,Tail: 100 mm;  Hind foot: 47 mm
CMNMA 17891,Tail: 129 mm;  Hind foot: 47 mm
CMNMA 17903,Tail: 129 mm;  Hind foot: 54 mm
CMNMA 17925,Tail: 109 mm;  Hind foot: 48 mm
CMNMA 17941,Tail: 123 mm;  Hind foot: 49 mm
CMNMA 17952,Tail: 113 mm;  Hind foot: 55 mm
CMNMA 17976,Tail: 131 mm;  Hind foot: 57 mm
CMNMA 18041,Tail: 120 mm;  Hind foot: 48 mm
CMNMA 18058,Tail: 126 mm;  Hind foot: 48 mm
CMNMA 18062,Tail: 112 mm;  Hind foot: 49 mm
CMNMA 18122,Tail: 124 mm;  Hind foot: 55 mm
CMNMA 18127,Tail: 121 mm;  Hind foot: 38 mm
CMNMA 18171,"Other meas: Length head to tail: 8"""
CMNMA 18227,Tail: 140 mm;  Hind foot: 51 mm;  Ear : 19.5 mm
CMNMA 18228,Tail: 136 mm;  Hind foot: 46 mm;  Ear : 21 mm
CMNMA 18526,Tail: 120 mm;  Hind foot: 49 mm
CMNMA 18602,Tail: 120 mm;  Hind foot: 49 mm
CMNMA 18642,Tail: 123 mm;  Hind foot: 45 mm
CMNMA 18647,Tail: 124 mm;  Hind foot: 49 mm
CMNMA 18648,Tail: 129 mm;  Hind foot: 49 mm
CMNMA 18654,Tail: 126 mm;  Hind foot: 50 mm
CMNMA 18753,Tail: 124 mm;  Hind foot: 50 mm
CMNMA 18754,Tail: 129 mm;  Hind foot: 49 mm
CMNMA 18766,Tail: 145 mm;  Hind foot: 51 mm
CMNMA 18775,Tail: 136 mm;  Hind foot: 46 mm
CMNMA 18776,Tail: 139 mm;  Hind foot: 50 mm
CMNMA 18781,Tail: 125 mm;  Hind foot: 49 mm
CMNMA 18789,Tail: 116 mm;  Hind foot: 46 mm
CMNMA 18996,Tail: 124 mm;  Hind foot: 47 mm
CMNMA 18997,Tail: 121 mm;  Hind foot: 46 mm
CMNMA 18998,Tail: 113 mm;  Hind foot: 46 mm
CMNMA 18999,Tail: 117 mm;  Hind foot: 47 mm
CMNMA 19000,Tail: 123 mm;  Hind foot: 47 mm
CMNMA 19001,Tail: 122 mm;  Hind foot: 47 mm
CMNMA 19002,Tail: 112 mm;  Hind foot: 44 mm
CMNMA 19003,Tail: 117 mm;  Hind foot: 48 mm
CMNMA 19004,Tail: 117 mm;  Hind foot: 48 mm
CMNMA 19005,Tail: 121 mm;  Hind foot: 48 mm
CMNMA 1914,Tail: 123.83 m;  Hind foot: 38 mm
CMNMA 1915,Tail: 120.7 mm;  Hind foot: 38 mm
CMNMA 1916,Tail: 130 mm;  Hind foot: 41.28 mm
CMNMA 1917,Tail: 133.4 mm;  Hind foot: 38 mm
CMNMA 1918,Tail: 123.83 m;  Hind foot: 41.28 mm
CMNMA 19180,Tail: 124 mm;  Hind foot: 48 mm
CMNMA 19181,Tail: 125 mm;  Hind foot: 51 mm
CMNMA 19182,Tail: 109 mm;  Hind foot: 50 mm
CMNMA 19183,Tail: 121 mm;  Hind foot: 47 mm
CMNMA 19829,Tail: 121 mm;  Hind foot: 48 mm
CMNMA 19830,Tail: 122 mm;  Hind foot: 44 mm
CMNMA 19831,Hind foot: 47 mm
CMNMA 19832,Tail: 110 mm;  Hind foot: 46 mm
CMNMA 19834,Tail: 117 mm;  Hind foot: 47 mm
CMNMA 19835,Tail: 116 mm;  Hind foot: 46 mm
CMNMA 19836,Tail: 116 mm;  Hind foot: 44 mm
CMNMA 19837,Tail: 121 mm;  Hind foot: 45 mm
CMNMA 19838,Tail: 110 mm;  Hind foot: 45 mm
CMNMA 20174,Tail: 115 mm;  Hind foot: 48 mm
CMNMA 20175,Tail: 111 mm;  Hind foot: 42 mm
CMNMA 20176,Tail: 125 mm;  Hind foot: 51 mm
CMNMA 20177,Tail: 120 mm;  Hind foot: 48 mm
CMNMA 20178,Tail: 120 mm;  Hind foot: 50 mm
CMNMA 20179,Tail: 121 mm;  Hind foot: 51 mm
CMNMA 20180,Tail: 125 mm;  Hind foot: 52 mm
CMNMA 20181,Tail: 113 mm;  Hind foot: 47 mm
CMNMA 20182,Tail: 111 mm;  Hind foot: 49 mm
CMNMA 20183,Tail: 122 mm;  Hind foot: 45 mm
CMNMA 2300,Tail: 130.18 m;  Hind foot: 44.5 mm
CMNMA 2357,Tail: 123.83 m;  Hind foot: 44.5 mm
CMNMA 2361,Tail: 95.3 mm;  Hind foot: 38 mm
CMNMA 2375,Tail: 122 mm;  Hind foot: 50 mm
CMNMA 2379,Tail: 129 mm;  Hind foot: 48 mm
CMNMA 24335,Tail: 139 mm;  Hind foot: 44 mm
CMNMA 2470,Tail: 104 mm;  Hind foot: 46 mm
CMNMA 2533,Tail: 112 mm;  Hind foot: 46 mm
CMNMA 2543,Tail: 130 mm;  Hind foot: 43 mm
CMNMA 2544,Tail: 100 mm;  Hind foot: 41 mm
CMNMA 2598,Tail: 105.4 mm;  Hind foot: 39.4 mm
CMNMA 2628,Tail: 119 mm;  Hind foot: 51 mm
CMNMA 2629,Tail: 114 mm;  Hind foot: 51 mm
CMNMA 2631,Tail: 113.0 mm;  Hind foot: 51 mm
CMNMA 2656,Tail: 114 mm;  Hind foot: 48 mm
CMNMA 2662,Tail: 104 mm;  Hind foot: 51 mm
CMNMA 2665,Tail: 123.2 mm;  Hind foot: 46 mm
CMNMA 2667,Tail: 124 mm;  Hind foot: 51 mm
CMNMA 2668,Tail: 127 mm;  Hind foot: 51 mm
CMNMA 2677,Tail: 122 mm;  Hind foot: 49.5 mm
CMNMA 2692,Tail: 123.2 mm;  Hind foot: 48 mm
CMNMA 2733,Tail: 130 mm;  Hind foot: 51 mm
CMNMA 2742,Tail: 132 mm;  Hind foot: 54.6 mm
CMNMA 2910,Tail: 123.83 m;  Hind foot: 44.5 mm
CMNMA 3096,Tail: 113 mm;  Hind foot: 47 mm
CMNMA 3109,Tail: 89 mm;  Hind foot: 43 mm
CMNMA 3200,Tail: 101 mm;  Hind foot: 47 mm
CMNMA 3201,Tail: 108 mm;  Hind foot: 47 mm
CMNMA 3208,Tail: 111 mm;  Hind foot: 47 mm
CMNMA 3209,Tail: 108 mm;  Hind foot: 47 mm
CMNMA 3210,Tail: 108 mm;  Hind foot: 47 mm
CMNMA 3213,Tail: 114 mm;  Hind foot: 51 mm
CMNMA 3216,Tail: 95 mm;  Hind foot: 50 mm
CMNMA 3218,Tail: 123 mm;  Hind foot: 47 mm
CMNMA 3219,Tail: 133 mm;  Hind foot: 44 mm
CMNMA 3227,Tail: 111 mm;  Hind foot: 47 mm
CMNMA 3228,Tail: 145 mm;  Hind foot: 50 mm
CMNMA 3285,Tail: 114 mm;  Hind foot: 43 mm
CMNMA 3286,Tail: 132 mm;  Hind foot: 46 mm
CMNMA 3287,Tail: 112 mm;  Hind foot: 43 mm
CMNMA 3288,Tail: 155 mm;  Hind foot: 48 mm
CMNMA 3420,Tail: 128 mm;  Hind foot: 49 mm
CMNMA 3454,Tail: 130 mm;  Hind foot: 46 mm
CMNMA 3455,Tail: 114 mm;  Hind foot: 46 mm
CMNMA 3456,Tail: 124 mm;  Hind foot: 46 mm
CMNMA 3460,Tail: 117 mm;  Hind foot: 43 mm
CMNMA 3461,Tail: 117 mm;  Hind foot: 43 mm
CMNMA 3489,Tail: 122 mm;  Hind foot: 41 mm
CMNMA 3568,Tail: 110 mm;  Hind foot: 45 mm
CMNMA 3570,Tail: 110 mm;  Hind foot: 44 mm
CMNMA 3574,Tail: 104 mm;  Hind foot: 45 mm
CMNMA 3577,Tail: 123.83 m;  Hind foot: 44.5 mm
CMNMA 3621,Tail: 130 mm;  Hind foot: 50 mm
CMNMA 3624,Tail: 130 mm;  Hind foot: 50 mm
CMNMA 3643,Tail: 130 mm;  Hind foot: 50 mm
CMNMA 3647,Tail: 117.48 m;  Hind foot: 50 mm
CMNMA 3693,Tail: 43 mm;  Hind foot: 43 mm
CMNMA 3878,Tail: 96 mm;  Hind foot: 38 mm
CMNMA 3957,Tail: 119 mm;  Hind foot: 40 mm
CMNMA 3958,Tail: 111 mm;  Hind foot: 40 mm
CMNMA 4043,Tail: 120 mm;  Hind foot: 45 mm
CMNMA 4044,Tail: 120 mm;  Hind foot: 45 mm
CMNMA 4045,Tail: 75 mm;  Hind foot: 40 mm
CMNMA 4047,Tail: 120 mm;  Hind foot: 40 mm
CMNMA 4057,Tail: 112 mm;  Hind foot: 45 mm
CMNMA 4071,Tail: 102 mm;  Hind foot: 44 mm
CMNMA 4079,Tail: 102 mm;  Hind foot: 46 mm
CMNMA 4099,Tail: 109 mm;  Hind foot: 48 mm
CMNMA 41113,
CMNMA 4120,Tail: 104 mm;  Hind foot: 47 mm
CMNMA 4182,Tail: 101 mm;  Hind foot: 47 mm
CMNMA 4276,Tail: 100 mm;  Hind foot: 47 mm
CMNMA 4287,Tail: 103 mm;  Hind foot: 42 mm
CMNMA 4294,Tail: 110 mm;  Hind foot: 42 mm
CMNMA 4397,Tail: 97 mm;  Hind foot: 47 mm
CMNMA 4447,Tail: 121 mm;  Hind foot: 47 mm
CMNMA 4454,Tail: 91 mm;  Hind foot: 44 mm
CMNMA 4553,Tail: 129 mm;  Hind foot: 51 mm
CMNMA 4565,Tail: 117 mm;  Hind foot: 50 mm
CMNMA 4570,Tail: 114 mm;  Hind foot: 49 mm
CMNMA 4613,Tail: 135 mm;  Hind foot: 49 mm
CMNMA 4614,Tail: 110 mm;  Hind foot: 58 mm
CMNMA 4628,Tail: 104 mm;  Hind foot: 48 mm
CMNMA 4633,Tail: 123 mm;  Hind foot: 47 mm
CMNMA 4685,Tail: 110 mm;  Hind foot: 48 mm
CMNMA 4784,Tail: 106 mm;  Hind foot: 46 mm
CMNMA 4887,Tail: 120 mm;  Hind foot: 43 mm
CMNMA 4888,Tail: 80 mm;  Hind foot: 42 mm
CMNMA 4889,Tail: 120 mm;  Hind foot: 45 mm
CMNMA 4920,Tail: 108 mm;  Hind foot: 43 mm
CMNMA 4923,Tail: 105 mm;  Hind foot: 43 mm
CMNMA 4929,Tail: 108 mm;  Hind foot: 45 mm
CMNMA 4930,Tail: 108 mm;  Hind foot: 45 mm
CMNMA 4950,Tail: 120 mm;  Hind foot: 45 mm
CMNMA 4952,Tail: 91 mm;  Hind foot: 45 mm
CMNMA 4964,Tail: 135 mm;  Hind foot: 45 mm
CMNMA 4965,Tail: 120 mm;  Hind foot: 41 mm
CMNMA 5209,Tail: 111 mm;  Hind foot: 45 mm
CMNMA 5240,
CMNMA 5241,
CMNMA 5245,
CMNMA 5246,
CMNMA 5251,
CMNMA 5252,
CMNMA 5253,
CMNMA 5255,
CMNMA 5256,
CMNMA 5259,
CMNMA 5260,
CMNMA 5261,
CMNMA 5273,
CMNMA 5281,
CMNMA 5358,Tail: 100 mm;  Hind foot: 43.2 mm
CMNMA 5364,Tail: 104 mm;  Hind foot: 45 mm
CMNMA 5368,Tail: 106 mm;  Hind foot: 46 mm
CMNMA 5614,Tail: 125 mm;  Hind foot: 46 mm
CMNMA 5619,Tail: 138 mm;  Hind foot: 49 mm
CMNMA 5620,Tail: 132 mm;  Hind foot: 50 mm
CMNMA 5624,Tail: 128 mm;  Hind foot: 50 mm
CMNMA 5625,Tail: 130 mm;  Hind foot: 49 mm
CMNMA 5626,Tail: 124 mm;  Hind foot: 48 mm
CMNMA 5627,Tail: 126 mm;  Hind foot: 51 mm
CMNMA 5636,Tail: 130 mm;  Hind foot: 50 mm
CMNMA 5637,Tail: 135 mm;  Hind foot: 51 mm
CMNMA 5672,Hind foot: 50 mm
CMNMA 5778,Tail: 106 mm;  Hind foot: 49 mm
CMNMA 5780,Tail: 89 mm;  Hind foot: 44 mm
CMNMA 5790,Tail: 87 mm;  Hind foot: 44 mm
CMNMA 5906,Tail: 111 mm;  Hind foot: 47 mm
CMNMA 5924,Tail: 126 mm;  Hind foot: 46 mm
CMNMA 5943,Tail: 49 mm;  Hind foot: 31 mm
CMNMA 5945,Tail: 115 mm;  Hind foot: 46 mm
CMNMA 5948,Tail: 115 mm;  Hind foot: 34 mm
CMNMA 5949,Tail: 134 mm;  Hind foot: 33 mm
CMNMA 5952,Tail: 109 mm;  Hind foot: 29 mm
CMNMA 5955,Tail: 108 mm;  Hind foot: 33 mm
CMNMA 5966,Tail: 120 mm;  Hind foot: 28 mm
CMNMA 5985,Tail: 125 mm;  Hind foot: 46 mm
CMNMA 6490,Tail: 120 mm;  Hind foot: 44 mm
CMNMA 6548,Tail: 91 mm;  Hind foot: 41 mm
CMNMA 6549,Tail: 132 mm;  Hind foot: 41 mm
CMNMA 6629,Tail: 128 mm;  Hind foot: 49 mm
CMNMA 6643,Tail: 130 mm;  Hind foot: 58 mm
CMNMA 6650,Tail: 129 mm;  Hind foot: 46 mm
CMNMA 6662,Tail: 120 mm;  Hind foot: 47 mm
CMNMA 6702,Hind foot: 47 mm
CMNMA 6769,Tail: 132 mm;  Hind foot: 50 mm
CMNMA 6776,Tail: 117 mm;  Hind foot: 50 mm
CMNMA 6778,Tail: 140.5 mm;  Hind foot: 50 mm
CMNMA 6786,Tail: 130 mm;  Hind foot: 50 mm
CMNMA 6792,Tail: 140 mm;  Hind foot: 50 mm
CMNMA 6798,Tail: 130 mm;  Hind foot: 48 mm
CMNMA 6799,Tail: 114 mm;  Hind foot: 50 mm
CMNMA 6807,Tail: 124 mm;  Hind foot: 46 mm
CMNMA 6815,Tail: 122 mm;  Hind foot: 46 mm
CMNMA 6828,Tail: 130 mm;  Hind foot: 47 mm
CMNMA 6829,Tail: 128 mm;  Hind foot: 48 mm
CMNMA 6837,Tail: 115 mm;  Hind foot: 48 mm
CMNMA 6863,Tail: 114 mm;  Hind foot: 42 mm
CMNMA 6886,Tail: 120 mm;  Hind foot: 50 mm
CMNMA 6903,Tail: 112 mm;  Hind foot: 48 mm
CMNMA 6904,Tail: 122 mm;  Hind foot: 48 mm
CMNMA 6910,Tail: 125 mm;  Hind foot: 49 mm
CMNMA 6915,Tail: 120 mm;  Hind foot: 48 mm
CMNMA 6937,Tail: 128 mm;  Hind foot: 50 mm
CMNMA 6940,Tail: 117 mm;  Hind foot: 47 mm
CMNMA 6941,Tail: 110 mm;  Hind foot: 50 mm
CMNMA 6946,Tail: 110 mm;  Hind foot: 45 mm
CMNMA 6947,Tail: 120 mm;  Hind foot: 47 mm
CMNMA 6955,Tail: 123 mm;  Hind foot: 45 mm
CMNMA 6956,Tail: 120 mm;  Hind foot: 46 mm
CMNMA 6957,Tail: 122 mm;  Hind foot: 48 mm
CMNMA 6958,Tail: 130 mm;  Hind foot: 48 mm
CMNMA 7145,Tail: 120 mm;  Hind foot: 51 mm
CMNMA 7466,Tail: 135 mm;  Hind foot: 53 mm
CMNMA 75138,
CMNMA 75139,
CMNMA 75140,
CMNMA 75146,
CMNMA 75347,
CMNMA 75387,Tail: 81 mm;  Hind foot: 49 mm;  Ear : 16 mm
CMNMA 75401,Tail: 109 mm;  Hind foot: 47 mm;  Ear : 22 mm
CMNMA 75428,Tail: 110 mm;  Hind foot: 46 mm;  Ear : 21 mm
CMNMA 75429,Tail: 125 mm;  Hind foot: 48 mm;  Ear : 18 mm
CMNMA 75541,
CMNMA 7624,Tail: 102 mm;  Hind foot: 50 mm
CMNMA 7636,Tail: 134 mm;  Hind foot: 53 mm
CMNMA 7640,Tail: 130 mm;  Hind foot: 48 mm
CMNMA 7684,Tail: 134 mm;  Hind foot: 48 mm
CMNMA 7749,Tail: 131 mm;  Hind foot: 52 mm
CMNMA 7754,Tail: 134 mm;  Hind foot: 52 mm
CMNMA 7807,Tail: 112 mm;  Hind foot: 48 mm
CMNMA 7841,Tail: 100 mm;  Hind foot: 50 mm
CMNMA 7870,Tail: 131 mm;  Hind foot: 49 mm
CMNMA 7905,Tail: 112 mm;  Hind foot: 49 mm
CMNMA 7910,Tail: 131 mm;  Hind foot: 52 mm
CMNMA 7911,Tail: 122 mm;  Hind foot: 49 mm
CMNMA 7915,Tail: 119 mm;  Hind foot: 50 mm
CMNMA 7922,Tail: 138 mm;  Hind foot: 54 mm
CMNMA 7990,Tail: 130 mm;  Hind foot: 49 mm
CMNMA 7996,Tail: 125 mm;  Hind foot: 50 mm
CMNMA 8553,Tail: 135 mm;  Hind foot: 38 mm
CMNMA 8568,Tail: 125 mm;  Hind foot: 50 mm
CMNMA 8569,Tail: 130 mm;  Hind foot: 50 mm
CMNMA 8589,Tail: 132 mm;  Hind foot: 48 mm
CMNMA 8594,Tail: 134 mm;  Hind foot: 49 mm
CMNMA 8595,Tail: 114 mm;  Hind foot: 49 mm
CMNMA 8596,Tail: 133 mm;  Hind foot: 49 mm
CMNMA 8597,Tail: 133 mm;  Hind foot: 48 mm
CMNMA 8598,Tail: 132 mm;  Hind foot: 48 mm
CMNMA 8613,Tail: 110 mm;  Hind foot: 46 mm
CMNMA 8885,Tail: 124 mm;  Hind foot: 50 mm
CMNMA 8888,Tail: 125 mm;  Hind foot: 50 mm
CMNMA 8909,Tail: 126 mm;  Hind foot: 52 mm
CMNMA 8917,Tail: 127 mm;  Hind foot: 52 mm
CMNMA 8973,Tail: 148 mm;  Hind foot: 54 mm
CMNMA 8992,Tail: 142 mm;  Hind foot: 52 mm
CMNMA 8996,Tail: 123 mm;  Hind foot: 51 mm
CMNMA 9072,Tail: 113 mm;  Hind foot: 51 mm
CMNMA 9081,Tail: 115 mm;  Hind foot: 50 mm
CMNMA 9082,Tail: 127 mm;  Hind foot: 53 mm
CMNMA 9133,Tail: 913 mm;  Hind foot: 52 mm
CMNMA 9151,Tail: 136 mm;  Hind foot: 53 mm
CMNMA 9251,Tail: 122 mm;  Hind foot: 52 mm
CMNMA 9322,Tail: 112 mm;  Hind foot: 50 mm
CMNMA 9323,Hind foot: 47 mm
CMNMA 9327,Tail: 110 mm;  Hind foot: 47 mm
CMNMA 9425,Tail: 114 mm;  Hind foot: 47 mm
CMNMA 9439,Tail: 108 mm;  Hind foot: 46 mm
CMNMA 9690,Tail: 140 mm;  Hind foot: 54 mm
CMNMA 9837,Tail: 117 mm;  Hind foot: 52 mm
CMNMA 9852,Tail: 131 mm;  Hind foot: 52 mm
CMNMA 9878,Tail: 130 mm;  Hind foot: 52 mm
CMNMA 9880,Tail: 144 mm;  Hind foot: 54 mm
CMNMA 9887,Tail: 137 mm;  Hind foot: 54 mm
CMNMA 9910,Tail: 134 mm;  Hind foot: 52 mm
CMNMA 9914,Tail: 120 mm;  Hind foot: 52 mm
CMNMA 9945,Tail: 131 mm;  Hind foot: 55 mm
CMNMA 9959,Tail: 124 mm;  Hind foot: 52 mm
CMNMA Z000177,Tail: 119 mm; Hind foot: 40 mm; Ear: 11 mm
CMNMA Z000774,
