speckey,Scientific Name,Author/Date,Parent,Level Name
500137,xxTmesipteris,,500135,GENUS
500182,xxCorydalis sempervirens,(L.) Pers.,1080510,SPECIES
500771,xxTodea,,1148078,GENUS
501024,xxLoxsoma,,500959,GENUS
501028,xxMecodium,,501025,GENUS
501034,xxAraucariaceae,,500124,FAMILY
502952,xxPapaver hultenii,Knaben,1080467,SPECIES
502969,xxBryophyta,,502968,DIVISION/PHYLUM
1008037,xxBryum dichotomum,Hedw.,1007994,SPECIES
1078550,xxAlsophila,R. Br.,1078549,GENUS
1078689,xxGrammitis,Sw.,1078671,GENUS
1078996,xxSalviniaceae,,500124,FAMILY
1079049,xxSelaginella menziesii,(Hook. & Grev.) Spring,1147467,SPECIES
1080308,xxBerberis,L.,1080305,GENUS
1081151,xxBetula michauxii,Spach,1081133,SPECIES
1078563,xxCyathea,Sm.,1078549,GENUS
1078607,xxLindsaea repens,(Bory) Thwaites,1078601,SPECIES
1078609,xxLindsaea stricta,(Sw.) Dry. ex J. Sm.,1078601,SPECIES
1078666,xxDiplopterygium,(Diels) Nakai,1078655,GENUS
1078784,xxLophosoriaceae,,500124,FAMILY
1085369,xxStrychnos spinosa,Lam.,1096454,SPECIES
1084823,xxLacistemataceae,,1084719,FAMILY
1084824,xxScyphostegiaceae,,1084719,FAMILY
1083769,xxPolygonum engelmannii,Greene,1083722,SPECIES
1111261,xxBromus richardsonii,Link,1111207,SPECIES
1109510,xxCarex amphibola,Steud.,1109484,SPECIES
1108252,xxTaraxacum carneocoloratum,A. Nels.,1108245,SPECIES
1108271,xxTaraxacum latilobum,DC.,1108245,SPECIES
1130118,xxAcorus,L.,1130117,GENUS
1114344,xxSisyrinchium fuscatum,Bickn.,1114318,SPECIES
1130059,xxSagittaria lancifolia,L.,1130052,SPECIES
1130067,xxButomus,L.,1130066,GENUS
1131156,xxColpodium,Trin.,1131103,GENUS
1137474,xxPopulus balsamifera,L.,1137473,SPECIES
1135087,xxPinguicula vulgaris,L.,1135085,SPECIES
1135116,xxUtricularia simulans,Pilger,1135088,SPECIES
1137886,xxHelianthemum propinquum,Bickn.,1137875,SPECIES
1137887,xxHelianthemum scoparium,Nutt.,1137875,SPECIES
1137890,xxHudsonia ericoides,L.,1137889,SPECIES
1137891,xxHudsonia tomentosa,Nutt.,1137889,SPECIES
1136581,xxPhyllodoce glanduliflora,(Hook.) Coville,1136578,SPECIES
1137895,xxLechea maritima var. subcylindrica,Hodgdon,1137894,VARIETY
1132869,xxCentratherum,Cass.,1132866,GENUS
1132566,xxDimorphotheca,Moench,1132565,GENUS
1132587,xxAgeratum,L.,1132586,GENUS
1135300,xxMimulus ringens,L.,1135296,SPECIES
1132924,xxFacelis retusa,(Lam.) Schultz-Bip.,1132923,SPECIES
1134023,xxCuscutaceae,,1133951,FAMILY
1133934,xxPlantaginales,,1132427,ORDER
1132803,xxBlumea,DC.,1132795,GENUS
1132485,xxMatricaria,L.,1132458,GENUS
1132491,xxArctotis,L.,1132490,GENUS
1133530,xxEnicostema,Blume,1133452,GENUS
1133582,xxHalenia deflexa,(Sm.) Griseb.,1133581,SPECIES
1139587,xxBerberis thunbergii,DC.,1139553,SPECIES
1139590,xxBerberis vulgaris,L.,1139553,SPECIES
1138320,xxCorylus americana,Walt.,1138319,SPECIES
1138322,xxCorylus avellana,L.,1081191,SPECIES
1138118,xxMalesherbiaceae,,1084719,FAMILY
1138095,xxFouquieria splendens,Engelm.,1138093,SPECIES
1138129,xxPassiflora edulis,Sims,1085100,SPECIES
1138139,xxPassiflora quadrangularis,L.,1085100,SPECIES
1135626,xxChenopodium,L.,1135608,GENUS
1135657,xxSalicornia rubra,A. Nels.,1135654,SPECIES
1135788,xxPolygonales,,1135366,ORDER
1135353,xxVerbascum thapsus,L.,1135351,SPECIES
1136168,xxDiapensiales,,1135868,ORDER
1136172,xxDiapensia lapponica,L.,1087438,SPECIES
1139369,xxPapaverales,,1138941,ORDER
1139719,xxAconitum,L.,1079672,GENUS
1137934,xxCucumis sativus,L.,1137931,SPECIES
1137936,xxCucurbita maxima,Duchesne,1085172,SPECIES
1136015,xxDescurainia sophioides,(Fisch.) O.E. Schulz,1136012,SPECIES
1146733,xxSchistostega,,1146732,GENUS
1146478,xxCeratodon,,1009915,GENUS
1146487,xxDistichium,,1146486,SPECIES
1146493,xxPleuridium,,1009915,GENUS
1146513,xxEntodon,,1146512,GENUS
1146516,xxPterigynandrum,,1146512,GENUS
1146123,xxRanunculales,,1132426,ORDER
1146537,xxFunaria,,1146536,GENUS
1146557,xxRhacomitrium,,1010078,GENUS
1146563,xxPleurozium,,1146562,GENUS
1146584,xxPlatydictya,,1146572,GENUS
1146586,xxPlatygyrium,,1146572,GENUS
1146588,xxPtilium,,1146572,GENUS
1146603,xxAnomodon,,1146602,GENUS
1146609,xxLeucobryum,,1146608,GENUS
1146612,xxLeucodon,,1146611,GENUS
1146318,xxHygroamblystegium,,1146260,GENUS
1146646,xxOrthotrichum,,1146645,GENUS
1146649,xxUlota,,1146645,GENUS
1144321,xxMalus fusca,(Raf.) Schneid.,1144319,SPECIES
1146383,xxRhynchostegiella,,1146366,GENUS
1146388,xxScleropodium,,1146366,GENUS
1146397,xxAnomobryum,,1146396,GENUS
1146683,xxAnoectangium,,1146259,GENUS
1146685,xxBarbula,,1146259,GENUS
1146698,xxPhascum,,1146259,GENUS
1146708,xxTimmiella,,1146259,GENUS
1146411,xxMniobryum,,1146396,GENUS
1146413,xxPlagiobryum,,1146396,GENUS
1146255,xxGrimmiales,,1007443,ORDER
1146261,xxAmblystegium,,1146260,GENUS
1146266,xxCampylium sp.,,1008388,SPECIES
1146430,xxSyrrhopodon,,1146429,GENUS
1146433,xxClimacium,,1146432,GENUS
1146436,xxCryphaea,,1146435,GENUS
1146440,xxAmphidium,,1146257,GENUS
1146456,xxDicranoweisia,,1146257,GENUS
1142638,xxVitis vinifera,L.,1142629,SPECIES
1142639,xxVitis vulpina,L.,1142629,SPECIES
1146772,xxVoitia,,1146766,GENUS
1146427,xxBuxbaumia,,1146426,GENUS
1146808,xxMicrochara,,1146805,GENUS
1145832,xxAralia hispida,Vent.,1145830,SPECIES
1141021,xxMonarda fistulosa,L.,1141020,SPECIES
1146994,xxPinus contorta var. murrayana,(Grev. & Balf.) Engelm.,1146993,VARIETY
1141791,xxOenothera fruticosa,L.,1141768,SPECIES
1146232,xxAnnularia,,1146231,GENUS
1146236,xxCalamites,,1146231,GENUS
1147299,xxConocephalaceae,,1147294,FAMILY
1147410,xxLepidophyllum,,1147393,GENUS
1147432,xxLepidostrobus,,1147431,SPECIES
1148046,xxTrichomanes,,501025,GENUS
1148055,xxMarattiales,,1147532,ORDER
1148515,xxOsmundales,,1147506,ORDER
1148080,xxCladophlebis virginiensis,,1148079,SPECIES
1182554,xxCalliergonella cuspidata var. brevifolia,(Warnst.) Latzel,1008508,VARIETY
1167121,xxUlvella,,1166486,GENUS
1167430,xxPoa abbreviata subsp. pattersonii,(Vasey) A. & D. L̦ve & Kapoor,1112611,SUBSPECIES
1169462,xxAchnatherum nelsonii subsp. dorei,(Barkworth & Maze) Barkworth,1169461,SUBSPECIES
1169463,xxAchnatherum nelsonii subsp. nelsonii,(Scribn.) Barkworth,1169461,SUBSPECIES
1166599,xxGomphoneis geitleri,Kociolek & Stoermer,1166601,SPECIES
1166293,xxCharophyceae,,1166292,CLASS
1166953,xxRhizoclonium lacustre,,1166950,SPECIES
1174437,xxBrachythecium curtum,(Lindb.) Limpr.,1008548,SPECIES
1173254,xxElymus repens,(L.) Gould,1111699,SPECIES
1172517,xxPoa paucispicula,Scribn. & Merr.,1112610,SPECIES
1173623,xxSalix aurita,L.,1085417,SPECIES
1168014,xxValeriana uliginosa,(Torr. & Gray) Rydb.,1103677,SPECIES
1169580,xxEricameria nauseosa,(Pallas ex Pursh) Nesom & Baird,1105529,SPECIES
1169582,xxEricameria nauseosa subsp. nauseosa var. glabrata,(Gray) Nesom & Baird,1104962,VARIETY
1172572,xxHulteniella integrifolia,(Richardson) Tzvelev,1172571,SPECIES
1179528,xxArctous rubra,(Rehder & E.H. Wilson) Nakai & Koidz,1136516,SPECIES
1181444,xxMelanelixia subargentifera,(Nyl.) O. Blanco et al.,1179784,SPECIES
1175911,xxViola bicolor,Pursh,1084851,SPECIES
1177308,xxCirsium horridulum var. vittatum,(Small) R.W. Long,1105072,VARIETY
1135121,xxUtricularia subulata,L.,1135088,SPECIES
1177495,xxThymophylla pentachaeta,(DC.) Small,1177493,SPECIES
1081154,xxBetula nana subsp. exilis,(Sukatschev) Hulten,1081153,SUBSPECIES
1135352,xxVerbascum blattaria,L.,1135351,SPECIES
1187419,xxFestuca frederikseniae,E.B. Alexeev,1111895,SPECIES
1185800,xxArctous alpina,(L.) Nied.,1136516,SPECIES
1192694,xxWarnstorfia tundrae,(Arnell) Loeske,1181480,SPECIES
1166746,xxNavicula delognei,,1166744,SPECIES
1147480,xxSelaginellales,,1147338,ORDER
1196571,xxAdelolecia,Hertel & Hafellner,500798,GENUS
